# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res20.snc -out forces_Re100_res20.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res20.snc:
#	Face (cyl): 104/1596
# Number of measurements selected:
#       104 fields_res20.snc
#       104 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.279051953554152
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  4.0000000200020693 3.9921069090738186
# Integrated surface area (sum(n*A), mks, timestep 0):  -1.2036199842357931e-08 -1.1663910731360416e-08
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.004546206047  2.16434e-07 -2.72798e-07
0.9137874154      3.48535  0.000840927
1.823028625       1.50768    0.0022913
2.732269834       1.71411   0.00215102
3.641511043       1.86475   0.00200722
4.550752253       1.83683   0.00193807
5.459993462       1.77961   0.00190912
6.369234671       1.73202    0.0018849
7.278475881       1.66301   0.00185678
8.18771709        2.36846   0.00196893
9.096958299       1.54223   0.00187471
10.00619951       1.63458     0.001905
10.91544072       1.71619   0.00186005
11.82468193       1.73924    0.0018426
12.73392314        1.6758   0.00185267
13.64316435       1.66182   0.00184414
14.55240556       1.66277   0.00183756
15.46164676       1.61789   0.00183883
16.37088797       1.78318   0.00183439
17.28012918       1.67208   0.00182811
18.18937039       1.53009   0.00186065
19.0986116        1.66474     0.001833
20.00785281       1.62975   0.00185187
20.91709402       1.61241   0.00185224
21.82633523       1.62009   0.00185191
22.73557644       1.61828    0.0018427
23.64481765       1.56141   0.00180777
24.55405886       1.57529   0.00184781
25.46330007       1.50079   0.00182599
26.37254128       1.47416   0.00173305
27.28178249       1.66748   0.00172858
28.19102369       1.68432   0.00173492
29.1002649         1.5412   0.00180306
30.00950611       1.42595   0.00183015
30.91874732       1.60749   0.00175055
31.82798853       1.69172   0.00175469
32.73722974       1.62723   0.00182731
33.64647095       1.65025   0.00182862
34.55571216       1.59551   0.00184437
35.46495337       1.52803   0.00192303
36.37419458       1.71012   0.00180976
37.28343579       1.74409   0.00184171
38.192677         1.59168   0.00187871
39.10191821       1.58718   0.00185564
40.01115942       1.56432   0.00180809
40.92040063       1.61117    0.0018069
41.82964183       1.56571   0.00177449
42.73888304       1.75835   0.00172143
43.64812425       1.56593   0.00181853
44.55736546       1.52726    0.0018083
45.46660667       1.59246   0.00182153
46.37584788       1.56912   0.00182766
47.28508909       1.61359   0.00184416
48.1943303        1.51798   0.00187251
49.10357151       1.56257   0.00189332
50.01281272        1.6262   0.00185724
50.92205393        1.5578   0.00186727
51.83129514       1.52213   0.00186215
52.74053635       1.54963   0.00180657
53.64977756       1.59049   0.00175405
54.55901877       1.55815   0.00172503
55.46825997       1.50642   0.00168431
56.37750118       1.51787   0.00165506
57.28674239       1.59553   0.00164651
58.1959836         1.5422   0.00166053
59.10522481       1.54335   0.00168458
60.01446602       1.56204   0.00175501
60.92370723       1.58733   0.00180923
61.83294844        1.5541   0.00189345
62.74218965       1.52865    0.0019666
63.65143086       1.53077   0.00200625
64.56067207       1.58731   0.00200281
65.46991328       1.53692   0.00200238
66.37915449       1.51035   0.00194932
67.2883957         1.5663   0.00186665
68.1976369        1.55133   0.00173845
69.10687811       1.51688   0.00163548
70.01611932       1.51358   0.00154689
70.92536053       1.47099   0.00143894
71.83460174       1.51335   0.00136364
72.74384295       1.51679    0.0013586
73.65308416       1.47708   0.00144386
74.56232537       1.51845   0.00152079
75.47156658        1.5157   0.00165977
76.38080779       1.48467   0.00191108
77.290049         1.49839   0.00208861
78.19929021        1.5014   0.00222718
79.10853142       1.48526   0.00238737
80.01777263       1.49627    0.0024539
80.92701384       1.46883   0.00241987
81.83625504       1.51629   0.00223607
82.74549625       1.53967   0.00203477
83.65473746       1.50386   0.00174425
84.56397867       1.48772   0.00138198
85.47321988       1.52349   0.00104971
86.38246109       1.49776  0.000795536
87.2917023        1.49709  0.000604943
88.20094351       1.50147  0.000514203
89.11018472       1.52367  0.000671158
90.01942593       1.53999    0.0010322
90.92866714       1.51485   0.00146214
91.83790835       1.51611   0.00201552
92.74714956       1.52721   0.00264037
93.65639077        1.5282   0.00323869
94.56563197       1.49553   0.00365354
95.47487318       1.51281   0.00381877
96.38411439       1.52084   0.00385226
97.2933556        1.53224   0.00345721
98.20259681       1.51823    0.0027432
99.11183802       1.52335    0.0018974
100.0210792       1.52827  0.000909356
100.9303204        1.5315 -0.000156678
101.8395616       1.51857  -0.00114636
102.7488029       1.51609  -0.00167598
103.6580441        1.5267  -0.00173197
104.5672853       1.54209  -0.00161004
105.4765265       1.55121   -0.0006863
106.3857677       1.54342  0.000771212
107.2950089       1.54479   0.00241796
108.2042501       1.55404   0.00427157
109.1134913       1.56393   0.00596567
110.0227325       1.55748   0.00738701
110.9319737       1.54252   0.00798623
111.841215        1.54933   0.00756323
112.7504562       1.57928   0.00667169
113.6596974       1.57963   0.00456887
114.5689386       1.55826   0.00167405
115.4781798       1.56211  -0.00148059
116.387421        1.57946  -0.00466206
117.2966622       1.58506  -0.00683147
118.2059034        1.5635  -0.00851431
119.1151446       1.54873   -0.0088445
120.0243858       1.56988  -0.00682747
120.933627        1.59295   -0.0038445
121.8428683       1.57342  0.000501816
122.7521095       1.55701   0.00587413
123.6613507       1.57495    0.0115301
124.5705919       1.58516    0.0161225
125.4798331       1.58152    0.0183731
126.3890743       1.55947    0.0195439
127.2983155       1.55305    0.0180587
128.2075567       1.58231    0.0120666
129.1167979       1.59062   0.00473819
130.0260391       1.56861  -0.00346461
130.9352803        1.5706   -0.0128181
131.8445216       1.58594   -0.0218203
132.7537628       1.59067   -0.0270103
133.663004        1.59146   -0.0273415
134.5722452       1.57347   -0.0246409
135.4814864       1.57236   -0.0172696
136.3907276       1.59785  -0.00285836
137.2999688       1.59828    0.0130088
138.20921         1.58719     0.027216
139.1184512       1.59072     0.041244
140.0276924       1.59414    0.0510325
140.9369337       1.60339    0.0516881
141.8461749       1.60694    0.0422866
142.7554161       1.58145    0.0262152
143.6646573       1.58141   0.00413295
144.5738985       1.60618   -0.0249082
145.4831397       1.60637   -0.0521746

