# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res10.snc -out forces_Re20_res10.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res10.snc:
#	Face (cyl): 70/812
# Number of measurements selected:
#        70 fields_res10.snc
#        70 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519058704408
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  3.9999999708608569 3.9921068929862669
# Integrated surface area (sum(n*A), mks, timestep 0):  -2.5378424639566077e-09 5.7429513436457746e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.009092412093 -1.15883e-06 -1.01454e-06
1.827574831        3.3963  7.82908e-05
3.646057249       2.97143  0.000165869
5.464539668       2.87213  0.000148538
7.283022087       2.78062  0.000113629
9.101504505        2.9572  0.000102723
10.91998692       2.83797  0.000101541
12.73846934       2.84472  0.000104121
14.55695176       2.82363  0.000111088
16.37543418       2.92291  9.71372e-05
18.1939166        2.78754   0.00013716
20.01239902       2.84034  0.000116813
21.83088144       2.83115  0.000120845
23.64936385       2.77025  0.000117013
25.46784627       2.68077  0.000129196
27.28632869       2.81567   0.00011437
29.10481111       2.76209  0.000113968
30.92329353       2.80525  0.000121832
32.74177595       2.92775  0.000109138
34.56025837       2.82434  0.000121339
36.37874078       2.95285  0.000117959
38.1972232        2.91203  0.000122176
40.01570562        2.8483  0.000121934
41.83418804       2.90196  0.000124718
43.65267046       2.90675  0.000117595
45.47115288       2.87806   0.00012252
47.2896353        2.86082  0.000120289
49.10811772       2.88554  0.000123832
50.92660013       2.88069   0.00012028
52.74508255       2.86595  0.000119324
54.56356497       2.85523  0.000122571
56.38204739       2.85647  0.000118676
58.20052981       2.86271  0.000121758
60.01901223       2.87303  0.000115788
61.83749465       2.87024  0.000118207
63.65597706       2.85739  0.000120034
65.47445948       2.84727  0.000119155
67.2929419        2.85027  0.000120414
69.11142432       2.83202  0.000120219
70.92990674       2.80625  0.000122189
72.74838916       2.79936  0.000119222
74.56687158        2.8072  0.000119881
76.38535399       2.80091  0.000119732
78.20383641       2.78538  0.000120033
80.02231883       2.77413  0.000119533
81.84080125       2.78884  0.000117048
83.65928367       2.78893  0.000119304
85.47776609       2.77856  0.000117718
87.29624851       2.76912  0.000121703
89.11473093       2.78197  0.000118001
90.93321334       2.78918  0.000118123
92.75169576       2.78354  0.000118945
94.57017818       2.77223  0.000118541
96.3886606        2.77793  0.000120724
98.20714302       2.78653   0.00011851
100.0256254       2.78694  0.000118512
101.8441079       2.77999  0.000120409
103.6625903       2.78604  0.000118239
105.4810727       2.79832   0.00011872
107.2995551       2.80466  0.000118692
109.1180375       2.80391  0.000119536
110.9365199       2.80517  0.000117797
112.7550024       2.81647  0.000120662
114.5734848       2.82363  0.000119219
116.3919672       2.82667  0.000118635
118.2104496       2.82448  0.000119045
120.028932        2.83195  0.000120206
121.8474145       2.83814  0.000121615
