# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res30.snc -out forces_Re20_res30.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res30.snc:
#	Face (cyl): 136/2378
# Number of measurements selected:
#       136 fields_res30.snc
#       136 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519903103466
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  4.000000018872548 3.9921069580252535
# Integrated surface area (sum(n*A), mks, timestep 0):  3.3837899669764138e-09 -2.5537417666643414e-11
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      0.99999999999999889
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.003030804031 -1.20241e-07  2.53634e-07
0.6091916102      8.22451  -0.00029214
1.215352416       4.72407 -0.000304769
1.821513223       3.44112 -0.000258359
2.427674029       3.09379  1.01844e-05
3.033834835       3.03633 -0.000247494
3.639995641       3.01757 -0.000239297
4.246156448       2.98839 -0.000233999
4.852317254         2.952 -0.000231387
5.45847806        2.91491 -0.000232417
6.064638866        2.8802 -0.000232681
6.670799672       2.84615 -0.000234942
7.276960479       2.80832  -0.00024161
7.883121285        3.1662  -5.4212e-05
8.489282091       3.41066 -0.000275082
9.095442897       3.12237 -0.000113838
9.701603703       2.89874 -0.000262021
10.30776451       2.87772 -0.000206151
10.91392532       2.91845 -0.000254156
11.52008612       2.97909 -8.18189e-05
12.12624693       2.99957 -0.000257839
12.73240773       2.97047  -0.00025687
13.33856854       2.93799 -0.000254951
13.94472935        2.9214 -0.000250091
14.55089015       2.90965 -0.000248673
15.15705096       2.88944 -0.000242164
15.76321177       2.90467 -0.000241978
16.36937257       2.98788 -0.000248986
16.97553338        3.0179 -0.000250174
17.58169418        2.9447 -0.000242581
18.18785499       2.87638 -0.000231176
18.7940158         2.8832 -0.000230685
19.4001766        2.91596 -0.000239856
20.00633741       2.92276  -0.00024232
20.61249822       2.91048 -0.000241904
21.21865902       2.90062 -0.000239272
21.82481983        2.8973 -0.000237172
22.43098063         2.892 -0.000238412
23.03714144       2.87102 -0.000239509
23.64330225       2.83535 -0.000190151
24.24946305       2.81499  -0.00019539
24.85562386        2.7991 -0.000194468
25.46178466       2.75364 -0.000184354
26.06794547        2.7261 -0.000179939
26.67410628       2.77005 -0.000226961
27.28026708       2.85229 -6.99854e-05
27.88642789        2.9083 -7.07279e-05
28.4925887        2.90277 -0.000233126
29.0987495        2.83964  -0.00018833
29.70491031       2.77383 -0.000186255
30.31107111        2.7695 -0.000178138
30.91723192       2.82926 -6.66226e-05
31.52339273       2.90593 -6.25969e-05
32.12955353       2.96584 -6.95922e-05
32.73571434       2.99674 -7.40025e-05
33.34187515       2.99638 -7.49411e-05
33.94803595       2.97563 -7.52355e-05
34.55419676       2.95225 -0.000239994
35.16035756       2.95073 -0.000240761
35.76651837       2.99136  -0.00024075
36.37267918        3.0578 -7.60157e-05
36.97883998       3.10325 -7.73541e-05
37.58500079       3.10118 -8.43286e-05
38.1911616         3.0632 -0.000255536
38.7973224        3.01271 -0.000200014
39.40348321       2.96601 -0.000198263
40.00964401       2.93493 -0.000199495
40.61580482       2.92752 -0.000198337
41.22196563       2.94278  -0.00019484
41.82812643       2.97196 -0.000243801
42.43428724       2.99776 -0.000244646
43.04044805       3.00226 -0.000247407
43.64660885       2.97981 -0.000249611
44.25276966       2.94275  -0.00019622
44.85893046        2.9097 -0.000195483
45.46509127       2.88924 -0.000194308
46.07125208       2.88151 -0.000193758
46.67741288       2.88217 -0.000189487
47.28357369       2.88321 -0.000188511
47.88973449       2.87869 -0.000189212
48.4958953        2.87261 -0.000189624
49.10205611       2.87246 -0.000187565
49.70821691       2.87635 -0.000388981
50.31437772       2.87509 -0.000240161
50.92053853       2.86547 -0.000238194
51.52669933       2.85328 -0.000185694
52.13286014       2.84723 -0.000185137
52.73902094       2.85016 -0.000384583
53.34518175       2.85759 -0.000234017
53.95134256       2.86078 -0.000236053
54.55750336       2.85349 -0.000235459
55.16366417       2.83785 -0.000236081
55.76982498       2.82325 -0.000183942
56.37598578       2.81901  -0.00018724
56.98214659       2.82468 -0.000184135
57.58830739       2.83365 -0.000236747
58.1944682        2.84033  -0.00023184
58.80062901        2.8462 -0.000229772
59.40678981       2.85489 -0.000232964
60.01295062       2.86685 -0.000233049
60.61911143       2.87789 -0.000232655
61.22527223       2.88294 -0.000237124
61.83143304       2.88054 -0.000235185
62.43759384       2.87348 -0.000235196
63.04375465       2.86597  -0.00023572
63.64991546       2.86042 -0.000236584
64.25607626       2.85638 -0.000237137

