# exaritool /usr/local/powerflow/6-2022-R1/dist/generic/tools/ri_scripts/forces.ri fields_res50.snc -out forces_Re20_res50.txt -sec -units mks -name cyl
# Selecting measurements...
# fields_res50.snc:
#	Face (cyl): 214/3956
# Number of measurements selected:
#       214 fields_res50.snc
#       214 Total
# Calculating surface normals... done.
# Origin (mks): -0.0 -0.0
# Origin (lattice): -0.0 -0.0
#
# Total selected surface area (mks, timestep 0):  6.2790519666671791
# Projected surface area (sum(abs(n)*A), mks, timestep 0):  4.0000000050157398 3.9921069354913827
# Integrated surface area (sum(n*A), mks, timestep 0):  2.0302735811994488e-09 1.4013892472679312e-09
#
# Characteristic properties (in mks units):
#	Density:   1.1841314120007744
#	Velocity:  1.0000000000000004
#	Area:      1.0
#	Pressure:  101324.99999999996

     time(s)      Fx           Fy     
0.001818482419  1.23097e-07  1.47897e-07
0.3655149661      10.7563   2.7392e-05
0.7292114499      7.25335  6.44139e-05
1.092907934       5.19308  7.32119e-05
1.456604417       4.04077  6.81284e-05
1.820300901       3.44411  0.000139969
2.183997385       3.17463  6.18853e-05
2.547693869       3.07396  3.86225e-06
2.911390352       3.04285  0.000112101
3.275086836       3.03102  0.000106226
3.63878332        3.01919  0.000100577
4.002479803        3.0029  9.54096e-05
4.366176287       2.98289  9.16764e-05
4.729872771       2.96089  8.90808e-05
5.093569255       2.93835  8.48021e-05
5.457265738       2.91622  8.01665e-05
5.820962222         2.895  7.57944e-05
6.184658706       2.87497 -7.74544e-06
6.548355189       2.85525 -9.29674e-06
6.912051673       2.82837 -1.14947e-05
7.275748157       2.81059  2.08063e-05
7.639444641       2.96763  1.90247e-05
8.003141124       3.30779  1.16842e-05
8.366837608       3.49762 -1.72834e-05
8.730534092       3.41632  8.56426e-06
9.094230576       3.19804  1.21291e-05
9.457927059       3.00749  2.15293e-05
9.821623543       2.91042  6.33745e-05
10.18532003       2.88489  -2.4541e-05
10.54901651       2.89517 -2.75643e-05
10.91271299       2.92999 -2.78241e-05
11.27640948       2.98691 -1.92008e-05
11.64010596       3.04131  1.04249e-05
12.00380245       3.06272 -1.75145e-05
12.36749893       3.04717 -1.73679e-05
12.73119541       3.01125  5.73169e-05
13.0948919        2.97364 -2.50658e-05
13.45858838       2.94496 -2.63482e-05
13.82228486       2.92719  -2.6734e-05
14.18598135       2.91711 -2.45471e-05
14.54967783       2.90873 -2.68351e-05
14.91337432       2.89731 -2.48775e-05
15.2770708        2.88706  5.61461e-05
15.64076728       2.89453  5.48084e-05
16.00446377       2.93346 -2.28936e-05
16.36816025       2.98932 -2.10236e-05
16.73185673       3.02559   5.6201e-05
17.09555322        3.0183 -1.71715e-05
17.4592497        2.97363 -1.52985e-05
17.82294619       2.91911 -1.47209e-05
18.18664267       2.88321  -1.4902e-05
18.55033915        2.8781 -1.36523e-05
18.91403564       2.89578  5.62475e-05
19.27773212       2.91852  5.90937e-05
19.6414286        2.93177 -2.26168e-05
20.00512509       2.93143 -2.45283e-05
20.36882157       2.92169 -2.25698e-05
20.73251805       2.90954  -2.3065e-05
21.09621454           2.9  -2.3538e-05
21.45991102       2.89468 -2.30982e-05
21.82360751       2.89264 -2.28517e-05
22.18730399       2.89152 -2.29925e-05
22.55100047       2.88779 -2.27828e-05
22.91469696       2.87763 -2.36383e-05
23.27839344       2.85952 -2.54282e-05

